third-party,Actor Type,Relative Actor Type,,
UN,UN,,,
IGAD,Kenya,,,
Sudan,UN,,,
UN,IGAD,,,
Community of Sant’ Egidio,UN,,,
IGAD,UN,,,
IGAD,UN,,,
Djibouti,IGAD,,,
Ethiopia,United Kingdom,,,
Kenya,United States of America,,,
Norway,Norway,,,
Sudan,UN,,,
Uganda,IGAD,,,
UN,AU,,,
UN,AU,,,
Sudan,UN,,,
IGAD,IGAD,,,
AU,,,,
UN,UN,,,
UN,IGAD,,,
UN,Sudan,,,
AU,UN,,,
UN,Community of Sant’ Egidio,,,
IGAD,IGAD,,,
AU,IGAD,,,
France,Djibouti,,,
Germany,Ethiopia,,,
Norway,Kenya,,,
United Kingdom,Norway,,,
United States of America,Sudan,,,
EU,Uganda,,,
UN,UN,,,
Germany,UN,,,
UN,UN,,,
AU,AU,,,
IGAD,UN,,,
UN,IGAD,,,
National Democratic Institute,N,G,,
UN,France,,,
IGAD,Germany,,,
AU,Norway,,,
United States of America,United Kingdom,,,
United Kingdom,United States of America,,,
United Arab Emirates,EU,,,
Saudi Arabia,UN,,,
Norway,UN,,,
Türkiye,ICC,,,
UN,UN,,,
UN,Germany,,,
Norway,UN,,,
Germany,AU,,,
Sweden,IGAD,,,
the Netherlands,UN,,,
Canada,,,,
UN,UN,,,
Uganda,IGAD,,,
UN,AU,,,
AU,United States of America,,,
RJMEC,United Kingdom,,,
IGAD,United Arab Emirates,,,
UN,Saudi Arabia,,,
UN,Norway,,,
UN,Turkiye,,,
AU,UN,,,
IGAD,IGAD,,,
African Diplomatic Corps,UN,,,
EU,,,,
Norway,,,,
United Kingdom,,,,
United States of America,,,,
UN,,,,
UN,,,,
AU,,,,
IGAD,,,,
African Diplomatic Corps,,,,
EU,,,,
Norway,,,,
United Kingdom,,,,
United States of America,,,,
UN,,,,
UN,,,,
UN,,,,
UN,,,,
UN,,,,
UN,,,,
UN,,,,
RJMEC,,,,
Ethiopia,,,,
Djibouti,,,,
Kenya,,,,
Somalia,,,,
Sudan,,,,
AU,,,,
IGAD,,,,
China,,,,
Norway,,,,
United Kingdom,,,,
United States of America,,,,
EU,,,,
UN,,,,
IPF,,,,
IGAD,,,,
Ireland,,,,
UN,,,,
AU,,,,
UN,,,,
AU,,,,
IGAD,,,,
UN,,,,
UN,,,,
UN,,,,
IGAD,,,,
AU,,,,
RJMEC,,,,
IGAD,,,,
Kenya,,,,
UN,,,,
UN,,,,
IGAD,,,,
UN,,,,
UN,,,,
